STOCK,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,WEEKLY_RETURNS_%,MA_4W,RSI
BEL,2020-10-25,30.87,30.92,28.78,29,88650000.0,-6.057661159701977,30.2825,37.760542898691234
BEL,2020-11-01,29.28,31.17,29.08,30.82,76830000.0,6.27586206896551,30.255,47.22358722358723
BEL,2020-11-08,31.5,32.47,30.58,32.23,136570000.0,4.574951330304988,30.729999999999997,47.96511627906976
BEL,2020-11-15,32.4,36.63,31.9,36.12,287270000.0,12.069500465404914,32.0425,45.97585513078471
BEL,2020-11-22,36.18,37.93,34.83,37.03,174410000.0,2.519379844961245,34.05,49.1682974559687
BEL,2020-11-29,37.03,39.33,36.77,38.58,175320000.0,4.185795301107209,35.989999999999995,52.799271734182966
BEL,2020-12-06,38.62,40.83,37.03,38.22,290560000.0,-0.9331259720062213,37.4875,56.72371638141809
BEL,2020-12-13,38.55,40.9,38.4,40.42,300000000.0,5.7561486132914785,38.5625,64.91063029162747
BEL,2020-12-20,40.23,41.07,35.45,38.3,228170000.0,-5.244928253339943,38.879999999999995,58.03766973280769
BEL,2020-12-27,38.73,42.67,37.8,42.13,381990000.0,10.000000000000009,39.7675,73.84349329874621
BEL,2021-01-03,43,45.13,42.3,44.03,309990000.0,4.50985046285306,41.22,74.89626556016596
BEL,2021-01-10,44.27,47,43.18,44.48,252610000.0,1.0220304337951402,42.235,78.89125799573559
BEL,2021-01-17,44.62,46.32,42.77,44.12,219700000.0,-0.8093525179856065,43.69,79.70702283498491
BEL,2021-01-24,44.58,45.42,42.33,43.35,206140000.0,-1.7452402538531198,43.995000000000005,76.62116040955631
BEL,2021-01-31,43.33,47.73,41.87,46.73,227950000.0,7.797001153402516,44.669999999999995,85.53106212424849
BEL,2021-02-07,47.07,47.67,44.72,45.42,174100000.0,-2.8033383265568035,44.905,79.86906710310967
BEL,2021-02-14,45.78,47.97,44.03,45.13,213660000.0,-0.638485248789078,45.1575,77.65866209262438
BEL,2021-02-21,45.17,47.67,43.08,45.7,181400000.0,1.2630179481497805,45.745,73.95000000000002
BEL,2021-02-28,46.23,51.65,45.98,49,267890000.0,7.221006564551424,46.3125,76.73068334077715
BEL,2021-03-07,49.33,50.23,46.35,46.68,135650000.0,-4.734693877551022,46.6275,67.48704663212436
BEL,2021-03-14,47.12,47.12,41.67,42.65,197060000.0,-8.633247643530417,46.0075,58.255683935892655
BEL,2021-03-21,42.9,43.98,38.62,40.8,206040000.0,-4.337631887456039,44.7825,50.717522658610264
BEL,2021-03-28,41.33,42.33,40.97,42.03,96850000.0,3.0147058823529527,43.04,57.288003126221184
BEL,2021-04-04,42.28,44.98,41.67,43.3,201710000.0,3.0216512015227126,42.195,52.54016500217107
BEL,2021-04-11,42.63,43.23,40.17,42.67,119060000.0,-1.4549653579676525,42.199999999999996,46.875
BEL,2021-04-18,41.37,43,40.72,42.3,107410000.0,-0.8671197562690525,42.575,44.972324723247226
BEL,2021-04-25,42.67,45.48,42.57,43.92,125040000.0,3.82978723404257,43.0475,49.5640802092415
BEL,2021-05-02,43.67,47.8,42.95,45.97,218360000.0,4.6675774134790515,43.714999999999996,55.40875309661437
BEL,2021-05-09,46.33,51.87,46.22,47.78,321290000.0,3.937350445943011,44.9925,52.31788079470199
BEL,2021-05-16,48.17,53,47.97,52.53,358650000.0,9.941398074508157,47.55,63.62591031046377
BEL,2021-05-23,52.78,53.33,47.4,48.28,578160000.0,-8.090614886731395,48.64,55.24126455906822
BEL,2021-05-30,48.52,51.07,47.9,50.93,179050000.0,5.48881524440763,49.88,58.13881107998755
BEL,2021-06-06,51,51.83,49.42,51.35,123040000.0,0.8246612998232816,50.7725,54.01709401709401
BEL,2021-06-13,51,51.12,46.83,48.73,125700000.0,-5.10223953261929,49.822500000000005,53.46869712351945
BEL,2021-06-20,47.33,58.63,47.33,58.33,656450000.0,19.700389903550185,52.335,72.32346241457859
BEL,2021-06-27,58.72,61.97,57.52,60.22,259760000.0,3.240185153437336,54.6575,77.61660978384526
BEL,2021-07-04,60.43,62.47,59.47,60.28,145810000.0,0.09963467286615568,56.89,76.84613121506325
BEL,2021-07-11,60.33,61.65,59.57,59.88,87860000.0,-0.6635700066356942,59.677499999999995,75.03019323671498
BEL,2021-07-18,59.83,62.58,59.22,60.88,94360000.0,1.6700066800267255,60.315,77.18722006569124
BEL,2021-07-25,60.88,63.9,60.07,61.55,132650000.0,1.1005256241787054,60.6475,78.48475880438
BEL,2021-08-01,61.67,62.33,58.03,58.47,133970000.0,-5.004061738424048,60.195,70.63829787234042
BEL,2021-08-08,55,58.53,54.12,58.17,216540000.0,-0.5130836326321164,59.7675,68.20895522388061
BEL,2021-08-15,58.05,60.62,56.77,57.02,80350000.0,-1.976964070826881,58.8025,64.06820950060902
BEL,2021-08-22,57.47,62,56.38,61.77,107660000.0,8.330410382321984,58.8575,64.06820950060902
BEL,2021-08-29,61.63,66.52,61.22,66.2,140000000.0,7.171766229561283,60.790000000000006,77.1350696547547
BEL,2021-09-05,67.08,67.63,64.45,65.68,83110000.0,-0.7854984894259731,62.667500000000004,73.8750404661703
BEL,2021-09-12,65.83,69.67,64.9,68.43,103190000.0,4.186967113276485,65.52000000000001,75.70740517760386
BEL,2021-09-19,67.5,70.23,67.02,68.5,79360000.0,0.102294315358753,67.2025,82.23019237039455
BEL,2021-09-26,68.7,70.82,66.38,67.25,123940000.0,-1.8248175182481785,67.465,69.98207885304662
BEL,2021-10-03,67.33,69.5,66,66.72,68450000.0,-0.7881040892193325,67.72500000000001,65.50572519083971
BEL,2021-10-10,66.72,71.32,66.72,70.18,72350000.0,5.185851318944845,68.16250000000001,70.320197044335
BEL,2021-10-17,68.42,73.83,66.67,67.15,97590000.0,-4.317469364491311,67.825,63.46795109299742
BEL,2021-10-24,67.5,72.95,61.15,68.95,138930000.0,2.6805658972449686,68.25,64.51961137099677
